"ID";"COMPANYID";"ZIP";"CITY";"STREET";"STREETNUMBER"
10387;10387;"86153";"Augsburg";"Friedrich-Merz-Str.";"5"
10388;10388;"81925";"München";"Arabellastr.";"5"
10393;10393;"85622";"Feldkirchen";"Otto-Lilienthal-Ring";"26"
10405;10405;"69239";"Neckarsteinach";"Schönauer Str.";"32"
10413;10413;"53902";"Bad Münstereifel";"Hohler Weg";"12"
10416;10416;"46519";"Alpen";"Weseler Str.";"88"
10422;10422;"76534";"Baden-Baden";"Eckbergstr.";"18"
10437;10437;"85662";"Hohenbrunn";"Georg-Knorr-Str.";"1"
10446;10446;"26188";"Edewecht";"Am Ortsrand";"7"
10457;10457;"58313";"Herdecke";"Lörfeldstr.";"20"
10475;10475;"86609";"Donauwörth";"Artur-Pröller-Str.";"7"
10479;10479;"51469";"Bergisch Gladbach";"Senefelderstr.";"44"
10482;10482;"83229";"Aschau im Chiemgau";"Bahnhofstr.";"5"
10486;10486;"80335";"München";"Schützenstr.";"5"
10495;10495;"89075";"Ulm";"Eberhard-Finckh-Str.";"55"
10503;10503;"85716";"Unterschleißheim";"Edisonstr.";"4"
10508;10508;"82152";"Martinsried";"Fraunhoferstr.";"17"
10509;10509;"69509";"Mörlenbach";"Großbreitenbach";"60"
10512;10512;"27472";"Cuxhaven";"Anton-Flettner-Str.";"1-3"
10514;10514;"97877";"Wertheim";"Reichenaecker";"7"
10517;10517;"82467";"Garmisch-Partenkirchen";"Marienplatz";"8"
10521;10521;"78464";"Konstanz";"Nestgasse";"2"
10523;10523;"04651";"Bad Lausick";"Käthe-Kollwitz-Str.";"34"
10530;10530;"06120";"Halle";"Daniel-Vorländer-Str.";"2"
10532;10532;"01705";"Freital";"Wilsdruffer Str.";"170"
10545;10545;"60318";"Frankfurt";"Eckenheimer Landstr.";"100-104"
10574;10574;"69509";"Mörlenbach";"Großbreitenbach";"60"
10576;10576;"47475";"Kamp-Lintfort";"Carl-Friedrich-Gauß-Str.";"50"
10580;10580;"1030";"Wien";"Göllnergasse";"29"
10587;10587;"69509";"Mörlenbach";"Großbreitenbach";"60"
10600;10600;"64646";"Heppenheim";"Am Alten Neckar";"5"
10601;10601;"64625";"Bensheim";"Asternweg";"13"
10608;10608;"76437";"Rastatt";"Kehlerstr.";"7"
10626;10626;"46562";"Voerde";"Weseler Str.";"110"
10633;10633;"72144";"Dusslingen";"Austrasse";"1"
10634;10634;"87534";"Oberstaufen-Steibis";"Am Hößl";"10"
10662;10662;"78467";"Konstanz";"De-Trey-Str.";"1"
10666;10666;"64646";"Heppenheim";"Am Alten Neckar";"5"
10668;10668;"6373";"GD Landgraaf";"Snijderslaan";"9"
10683;10683;"59821";"Arnsberg";"Dammstr.";"7"
10690;10690;"82229";"Seefeld";"Espe Platz";""
10702;10702;"49809";"Lingen";"Georgstr.";"54-56"
10705;10705;"50226";"Frechen";"Alfred-Nobel-Str.";"5"
10725;10725;"89188";"Merklingen";"J.-Lohmann-Weg";"5"
10746;10746;"69115";"Heidelberg";"Darwinstrasse";"2-4"
10760;10760;"51105";"Köln";"Gottfried-Hagen-Str.";"60-62"
10761;10761;"79114";"Freiburg";"Obere Hardtstr.";"18"
10763;10763;"73760";"Ostfildern (Ruit)";"Brunnenwiesenstr.";"21"
10764;10764;"85635";"Höhenkirchen";"Altlaufstr.";"42"
10784;10784;"76889";"Kapsweyer";"Im Lichel";"7"
10811;10811;"19073";"Stralendorf";"Moorweg";"1"
10950;10950;"30926";"Seelze";"Hannoversche Str.";"1"
10976;10976;"52355";"Düren";"Neumann-Neander-Str.";"6-8"
10982;10982;"83209";"Prien";"Marktplatz";"10"
11002;11002;"79539";"Lörrach";"Bärenfelser Str.";"7"
11012;11012;"47798";"Krefeld";"Ostwall";"48a"
11021;11021;"61273";"Wehrheim";"Am Kappengraben";"18 A"
11023;11023;"13627";"Berlin";"Stieffring";"14"
